Title,Event start,Event end,Category 1,Category 2,Location
Wedding Ceremony,2017/04/15,2017/04/15,Wedding,,Treasury Gardens
Wedding Ceremony,2017/04/21,2017/04/21,Wedding,,Fitzroy Gardens
Wedding Ceremony,2017/04/21,2017/04/21,Wedding,,Fitzroy Gardens
Wedding Ceremony,2017/04/21,2017/04/21,Wedding,,Treasury Gardens
 Bloody Long Walk Melbourne,2017/11/04,2017/11/05,Public Event - Run/Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Kings Domain, Queen Victoria Gardens, Bridges, Southbank Promenade, Inner Suburb Locations, Queensbridge Square , Southbank Spillway , Promotional Sites, Parks, All Other Spaces, Roads / Public Access Spaces"
 Rebel Sport Commercial,2017/12/15,2017/12/16,"Filming - TVC, Recreation and Sport",,Parks
 Mgs Cross Country Events,2017/07/20,2017/08/03,Private Event,,Kings Domain
 Fso Ey Christmas Party,2017/12/19,2017/12/19,Private Event ,Christmas Party ,Treasury Gardens
 Smmb Midnight Oil,2017/11/02,2017/11/16,Public Event - Ticketed,,Kings Domain
 50:50,2017/11/04,2017/11/04,Filming - Movie,,Collins Street
Wedding Ceremony ,2017/10/07,2017/10/07,Wedding,,Kings Domain
 Hungry Jacks Unit Base,2017/07/29,2017/07/29,Filming - Unit Base,,Promotional Sites
 Contiki,2017/12/05,2017/12/05,Private Event,,Alexandra Gardens
Wedding Ceremony ,2017/10/07,2017/10/07,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/10/07,2017/10/07,Wedding,,Fitzroy Gardens
 Next Gen,2017/09/21,2017/09/22,Filming - TV Series,,St Kilda Road
 The Wrong Girl,2017/07/25,2017/07/25,Filming - TV Series,,Corrs Lane
 Afl Players Association Mvp Awards Dinner,2017/09/12,2017/09/12,Filming - Other,,Promotional Sites
 Country Road Home Town Spring 17 Campaign,2017/06/18,2017/06/18,Filming - Photo shoot,,"Treasury Gardens, Other Park Locations, Spring Street, Inner Suburb Locations"
 Inflatable Refugee,2017/06/17,2017/06/17,Public Event - Non Ticketed,,Alexandra Gardens
 Family And Values Conference,2017/08/19,2017/08/19,Public Event - Low Impact Activity,,"Argyle Square Stage Only, Piazza Italia "
 Malaysian Summit Of Australia,2017/04/23,2017/04/23,Public Event - Low Impact Activity,,Flagstaff Gardens
Wedding Ceremony ,2017/11/24,2017/11/24,Wedding,,Kings Domain
Wedding Ceremony ,2018/01/05,2018/01/05,Wedding,,Fitzroy Gardens
 The Body Shop Spin To Win,2017/12/04,2017/12/10,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
 Src Staff Xmas Party,2017/12/20,2017/12/20,Private Event ,Christmas Party ,Flagstaff Gardens
 Cling Clang Album Launch Party,2017/12/10,2017/12/10,Public Event - Non Ticketed,,Birrarung Marr
Wedding Ceremony ,2017/11/05,2017/11/05,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/11/05,2017/11/05,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/11/05,2017/11/05,Wedding,,Fitzroy Gardens
 Run For Palestine,2017/11/19,2017/11/19,Public Event - Run/Walk,,"Kings Domain, Tom's Block"
 Melbourne Head Regatta,2017/11/18,2017/11/18,Public Event - Non Ticketed,,Alexandra Gardens
 The Great Australian Garage Sale,2017/10/22,2017/10/22,Public Event - Non Ticketed,,Other Park Locations
 The Greater Run,2017/09/23,2017/09/23,Public Event - Run/Walk,,Treasury Gardens
 Bmd Family Christmas Day,2017/12/09,2017/12/09,Private Event ,Christmas Party ,Fawkner Park
 Qantas Assure,2017/10/26,2017/10/26,Promotion,,Southbank Spillway 
 Spring Into Action,2017/10/09,2017/10/11,Promotion,,Southbank Spillway 
 Welcome Event,2017/10/13,2017/10/13,Private Event,,Alexandra Gardens
 Metro Tunnel -  City Square pop -up,2017/06/02,2017/06/02,Promotion,,City Square
 Unveiling Of Bourke St Memorial,2018/01/20,2018/01/20,Private Event,,Other Park Locations
 Isaca Family Day,2017/11/19,2017/11/19,Private Event,,Parks
 Philippines Street Festival,2017/11/17,2017/11/20,Public Event - Non Ticketed,,"Argyle Square Stage Only, Other Park Locations, Piazza Italia "
 Wateraid,2017/12/07,2017/12/08,Promotion,,Queensbridge Square 
 Best Foot Forward Skateboard Contest,2017/09/09,2017/09/10,Public Event - Non Ticketed,,"Alexandra Gardens, AG - Riverslide Skate Park"
 Afl Grand Final Day Parade 2017,2017/09/29,2017/09/29,Public Event - Parade,,"Fitzroy Gardens, Treasury Gardens, Other Park Locations, Collins Street, Flinders Lane, Flinders Street, Little Bourke Street, Little Collins Street, Spring Street, Inner Suburb Locations"
 Skybus Launch,2017/10/04,2017/10/04,Promotion,,Promotional Sites
 Short Film,2017/10/16,2017/10/17,Filming - Movie,,"Carlton Gardens, Roads / Public Access Spaces"
Wedding Ceremony ,2017/12/17,2017/12/17,Wedding,,Carlton Gardens
 Sisters,2017/08/02,2017/08/02,Filming - TV Series,,Other Park Locations
 The Wrong Girl,2017/06/19,2017/06/19,Filming - Unit Base,,Promotional Sites
 Volvo Ocean Race,2017/12/18,2018/01/07,Public Event - Non Ticketed,,"Promotional Sites, All Other Spaces"
 Pride Run & Walk,2018/01/21,2018/01/21,Public Event - Run/Walk,,Kings Domain
 Family Safety Victoria Eoy Event,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Treasury Gardens
Wedding Ceremony ,2017/11/11,2017/11/11,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/11/11,2017/11/11,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/11/11,2017/11/11,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/11/11,2017/11/11,Wedding,,Fitzroy Gardens
 Australian Open Festival 2018,2018/01/02,2018/02/02,Public Event - Ticketed,,Birrarung Marr
Wedding Ceremony ,2017/11/03,2017/11/03,Wedding,,Treasury Gardens
 Spring Racing Shopping,2017/10/26,2017/10/26,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
 Step Up For Down Syndrome,2017/10/08,2017/10/08,Public Event - Ticketed,,Princes Park 
 Girls Skate Australia,2017/11/25,2017/11/25,Public Event - Non Ticketed,,Alexandra Gardens
 Energizer Christmas Campaign,2017/12/08,2017/12/15,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street"
 Social Garden Xmas Party,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Fitzroy Gardens
 City Of Melbourne Christmas Campaign,2017/09/25,2017/09/25,Filming - Photo shoot,,"Higson Lane, Oliver Lane"
 Playgroup End Of Year Celebration,2017/12/06,2017/12/06,Private Event ,Christmas Party ,Holland Park
 Frank Dyson Memorial Relay,2017/05/20,2017/05/20,Private Event,,Kings Domain
Wedding Ceremony ,2017/09/24,2017/09/24,Wedding,,Queen Victoria Gardens
 Cityside Eoy Celebration,2017/12/17,2017/12/17,Private Event ,Christmas Party ,Flagstaff Gardens
 Ride 2 Work Day,2017/10/11,2017/10/11,Promotion,,Promotional Sites
 Family And Values Conference,2017/12/23,2017/12/23,Public Event - Non Ticketed,,"Argyle Square Stage Only, Piazza Italia "
 Chinese Traditional Instruments And Cheongsam,2017/05/20,2017/05/20,Public Event - Non Ticketed,,Queensbridge Square 
 City Of Melbourne Christmas Campaign Photoshoot,2017/09/12,2017/09/12,Filming - Photo shoot,,Alfred Place
 Dogtober/graduation,2017/09/26,2017/09/26,Public Event - Non Ticketed,,Queensbridge Square 
 World Hepatitis Day,2017/07/14,2017/07/14,Promotion,,Bourke St Mall - next to Tourism booth
 Melbourne Gospel Music Festival,2017/11/04,2017/11/04,Public Event - Music,,Queensbridge Square 
 Year 9 City Discovery Bootcamp,2017/09/01,2017/09/01,Private Event,,Alexandra Gardens
 Sisters Unit Base,2017/09/07,2017/09/07,Filming - Unit Base,,Fawkner Park
Wedding Ceremony ,2017/12/15,2017/12/15,Wedding,,Royal Park
 Hungry Jacks Tvc,2017/07/29,2017/07/30,Filming - TVC,,"Little Bourke Street, William Street, Barry Lane, Lt William Street, St Patricks Alley, Thomson Street, Roads / Public Access Spaces"
Wedding Ceremony ,2018/01/06,2018/01/06,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2018/01/06,2018/01/06,Wedding,,Fitzroy Gardens
 Msfw Vaefno (vogue),2017/08/29,2017/09/02,Public Event - Non Ticketed,,"Bourke Street, Bourke St Mall - next to Tourism booth"
 Connor's Run,2017/09/15,2017/09/17,Public Event - Run/Walk,,"Alexandra Gardens, Southbank Promenade, Inner Suburb Locations, Queensbridge Square , Southbank Spillway , Evan Walker Bridge"
 Msfw 2017,2017/06/06,2017/06/06,Filming - Photo shoot,,"Collins Street, Flinders Lane, Russell Street, Spring Street, Crossley Street"
Wedding Ceremony ,2017/09/23,2017/09/23,Wedding,,Kings Domain
Wedding Ceremony ,2017/12/09,2017/12/09,Wedding,,Royal Park
 Eset Ice Campaign,2017/08/11,2017/09/08,Promotion,,"Melbourne Central Station - Elizabeth Street, Southern Cross Pedestrian Bridge"
 Stick It To Homelessness,2017/08/08,2017/08/09,Promotion,,Bourke St Mall - next to Tourism booth
 Junior Rowing Academy,2017/11/11,2017/11/11,Promotion,,Bourke St Mall - next to Tourism booth
 MCCCC Fun Run/walk,2017/10/22,2017/10/22,Public Event - Run/Walk,,Princes Park 
 Spc Beans Food Truck,2017/08/23,2017/08/23,Promotion,,Queensbridge Square 
 Emporium Ss17,2017/08/10,2017/08/11,Filming - Photo shoot,,"Bourke Street, Collins Street, Exhibition Street, Flinders Lane, Little Collins Street, Spring Street"
 Css Professional Development Bbq,2017/10/10,2017/10/10,Public Event - Non Ticketed,,Other Park Locations
 A Walk In The Park,2017/10/28,2017/10/28,Public Event - Low Impact Activity,,Princes Park 
 Childfund,2017/11/06,2017/11/10,Promotion,,Bourke St Mall - next to Tourism booth
 Arts Learning Festival,2017/04/30,2017/05/10,Pubilc Event - Non-ticketed,,Birrarung Marr
 Wateraid,2017/04/25,2017/06/09,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Queensbridge Square , Southbank Spillway , Bourke St Mall - next to Tourism booth"
 Vision Australia's Carols By Candlelight,2017/12/20,2017/12/27,Public Event - Ticketed,,"Kings Domain, Tom's Block"
 Dairy Farmers,2017/10/28,2017/10/28,Promotion,,"Queensbridge Square , Southbank Spillway "
 Weet-Bix,2017/11/30,2017/11/30,Filming - TVC,,Union Lane
 Jack Irish Unit Base,2017/11/29,2017/11/29,Filming - Unit Base,,Flagstaff Gardens
 Walk Together,2017/10/21,2017/10/21,Public Event - Low Impact Activity,,Treasury Gardens
 Robina State High School Concert Band,2017/04/25,2017/04/25,Pubilc Event - Non-ticketed,,Queensbridge Square 
 Mpt Xmas Party In The Park,2017/11/30,2017/11/30,Private Event,Christmas Party ,Treasury Gardens
Wedding Ceremony ,2017/12/31,2017/12/31,Wedding,,Fitzroy Gardens
 Myer Christmas Window Reveal,2017/11/12,2017/11/12,Filming - Other,,Bourke Street
 Umsu Centre Stage,2017/08/31,2017/08/31,Public Event - Non Ticketed,,"Other Park Locations, Inner Suburb Locations"
 Midsumma Carnival & T-Dance,2018/01/10,2018/01/16,Public Event - Non Ticketed,,Alexandra Gardens
Wedding Ceremony ,2017/10/28,2017/10/28,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/10/28,2017/10/28,Wedding,,Fitzroy Gardens
 Circus Oz,2017/05/31,2017/07/25,Public Event - Ticketed,,Birrarung Marr
 The Block Challenge,2017/05/25,2017/05/25,Filming - TV Series,,"Royal Park, Other Park Locations"
 The Wrong Girl,2017/07/31,2017/07/31,Filming - TV Series,,"Flinders Street, Swanston Street, Bridges"
 The Student Housing Company,2017/11/14,2017/11/14,Filming - TVC,,"La Trobe Street, Inner Suburb Locations"
 Proposal,2017/12/15,2017/12/15,Private Event,,Fitzroy Gardens
 Firelight,2017/06/28,2017/07/03,Public Event - Low Impact Activity,,"Promotional Sites, All Other Spaces, Roads / Public Access Spaces"
 Heritage Paddle Picnic,2017/04/30,2017/04/30,Private Event,,Alexandra Gardens
 E-waste Recycling Day,2017/10/21,2017/10/21,Public Event - Low Impact Activity,,Queensbridge Square 
 Melbourne Tourism Tvc,2017/09/13,2017/09/16,Filming - TVC,,"Fitzroy Gardens, Treasury Gardens, Flinders Lane, Lonsdale Street, Russell Street, Spring Street, Hosier Lane, Rutledge Lane"
 Birdlife Australia Christmas Event,2017/12/08,2017/12/08,Private Event ,Christmas Party ,Carlton Gardens
 Sri Chinmoy Tan Team Relays,2017/11/26,2017/11/26,Public Event - Run/Walk,,Kings Domain
 Remembrance Day Service,2017/11/11,2017/11/11,Public Event - Memorial,,"Bourke Street, Collins Street, Elizabeth Street, Flinders Street, Spring Street, Swanston Street, Bridges"
 Offsping S7 Murchison Square,2017/05/31,2017/05/31,Filming - TV Series,,Other Park Locations
 Next Gen,2017/09/26,2017/09/26,Filming - TV Series,,Inner Suburb Locations
 The Strand VFNO,2017/09/01,2017/09/01,Public Event - Low Impact Activity,,"Little Bourke Street, Driver Lane"
 Pop Up: West Melbourne Draft Structure,2017/08/09,2017/08/09,Public Event - Low Impact Activity,,Inner Suburb Locations
 Lexus Ls,2017/09/30,2017/10/01,Filming - TVC,,"Bourke Street, Spring Street, William Street, Inner Suburb Locations, Roads / Public Access Spaces"
 Engagement Wark,2017/11/24,2017/11/24,Private Event,,Fitzroy Gardens
 The Doctor Blake Mysteries Unit Base,2017/09/01,2017/09/01,Filming - Unit Base,,Little Lonsdale Street
Wedding Ceremony ,2017/11/17,2017/11/17,Wedding,,Fitzroy Gardens
 Sisters,2017/09/13,2017/09/13,Filming - TV Series,,Collins Street
 NAB Hicaps Go,2017/10/21,2017/10/25,Promotion,,Southbank Spillway 
 Walkathon,2017/05/27,2017/05/27,Public Event - Run/Walk,,"Kings Domain, Inner Suburb Locations"
Wedding Ceremony ,2017/12/24,2017/12/24,Wedding,,Fitzroy Gardens
 Bill's Walk For Brain Cancer,2017/11/12,2017/11/12,Private Event,,Kings Domain
 Watch Man Walk,2017/09/26,2017/09/27,Filming - Student,,Treasury Gardens
 Gta Christmas Family Picnic,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Treasury Gardens
 Lyneham High School Year 9 Concert Band,2017/08/07,2017/08/10,Public Event - Non Ticketed,,"Queensbridge Square , Piazza Italia , Promotional Sites"
 Sisters Series 1,2017/08/21,2017/08/21,Filming - TV Series,,Inner Suburb Locations
 David Jones Model Casting,2018/01/16,2018/01/16,Promotion,,Bourke Street
 Puppy Pals,2017/03/06,2017/05/27,Promotion,,"Bourke St Mall - next to Tourism booth, 70 Errol Street, North Melbourne"
 Targa Florio - The Australian Tribute,2017/11/28,2017/12/03,Public Event - Non Ticketed,,"Promotional Sites, All Other Spaces"
 Matress Hunt,2017/07/25,2017/07/25,Filming - TVC,,Flagstaff Gardens
 Dedjtr End Of Year Event,2017/12/08,2017/12/08,Private Event ,Christmas Party ,Treasury Gardens
 295 King Street,2017/05/15,2017/05/15,Filming - Photo shoot,,Flagstaff Gardens
 Week 12 Bbq And Eox Ticket Sales,2017/10/17,2017/10/17,Private Event,,Other Park Locations
 Constance Afl Bbq,2017/09/30,2017/09/30,Private Event,,Other Park Locations
 Smart City Office Christmas Party,2017/12/08,2017/12/08,Private Event ,Christmas Party  ,Alexandra Gardens
 Toyota Sdl Promo Shoot,2018/01/15,2018/01/15,Filming - TVC,,"Bourke Street, Spring Street, St Kilda Road, Southbank Promenade, Inner Suburb Locations"
 Dhhs End Of Year Staff Event,2017/12/12,2017/12/12,Private Event,Christmas Party ,Treasury Gardens
 Xcr'17 Rd 10 Princes Park Relays,2017/09/16,2017/09/16,Public Event - Run/Walk,,Princes Park 
 Sisters Series 1,2017/08/30,2017/08/31,Filming - TV Series,,"Russell Street, William Street"
 Myer Windows Photography,2017/12/12,2017/12/14,Filming - Photo shoot,,Bourke Street
 Mix And Match,2017/12/21,2017/12/21,Private Event,,Neill Street Reserve
 Kidney Health Walk,2017/09/10,2017/09/10,Public Event - Low Impact Activity,,Kings Domain
 Debenhams Store Launch,2017/10/24,2017/10/24,Promotion,,Collins Street
 University Of Melbourne Open Day,2017/08/19,2017/08/21,Public Event - Non Ticketed,,"Other Park Locations, Inner Suburb Locations"
 Wedding Car Display,2017/09/24,2017/09/24,Public Event - Non Ticketed,,"Queensbridge Square , Southbank Spillway "
 Impact English College Eoy Picnic,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Carlton Gardens
 Mercedes Benz Club Victoria,2017/12/03,2017/12/03,Public Event - Non Ticketed,,"Southbank Promenade, Inner Suburb Locations, Southbank Spillway "
 Melbourne Music Week HUB 2017,2017/11/08,2017/11/26,Public Event - Non Ticketed,,Swanston Street
 Sunday Street Docklands,2017/11/26,2017/11/26,Public Event - Non Ticketed,,Roads / Public Access Spaces
Wedding Ceremony ,2017/05/07,2017/05/07,Wedding,,Kings Domain
 Cherry Rock 2017,2017/05/07,2017/05/08,Public Event - Ticketed,,ACDC Lane
 Oxfam - Water & Sanitation,2017/11/13,2017/11/17,Promotion,,Bourke St Mall - next to Tourism booth
 Ask The Doctor,2018/01/13,2018/01/13,Filming - TV Series,,"Princes Park , Royal Park, Bourke Street, Elizabeth Street, Swanston Street, Inner Suburb Locations, The Causeway, Union Lane"
 Wreath Presentation Ceremony,2017/11/11,2017/11/11,Public Event - Memorial,,"Chinatown Plaza - see notes., Cohen Place"
 Shore,2017/05/12,2017/05/13,Public Event - Low Impact Activity,,Royal Park
 Monash College Eoy Celebration,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Tom's Block
 Body Shop Forever Against Animal Testing,2017/07/04,2017/07/04,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
 Sri Chinmoy 15km Run,2017/04/23,2017/04/23,Public Event - Run/Walk,,Princes Park 
 Bsr Christmas/end Of Year Party,2017/12/20,2017/12/20,Private Event ,Christmas Party ,Fawkner Park
 Grace's Garden Party,2017/12/18,2017/12/18,Private Event,,Alexandra Gardens
 Acso Christmas Party,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Other Park Locations
 Fawkner Park Children's Centre,2017/12/01,2017/12/01,Private Event ,Christmas Party ,Fawkner Park
 Sisters Unit Base,2017/09/13,2017/09/14,Filming - Unit Base,,Flagstaff Gardens
 The Petting Zoo,2017/12/15,2017/12/17,Public Event - Low Impact Activity,,Roads / Public Access Spaces
 Emirates Melbourne Cup Parade,2017/11/06,2017/11/06,Public Event - Parade,,"Bourke Street, Collins Street, Elizabeth Street, Flinders Lane, Flinders Street, Little Bourke Street, Swanston Street, St Kilda Road, Bridges, Inner Suburb Locations"
 Vrr Fun Run - Princes Park ,2017/08/20,2017/08/20,Public Event - Run/Walk,,Princes Park 
 Uplift Events Christmas Party,2017/11/27,2017/11/27,Private Event,Christmas Party ,Alexandra Gardens
 Zd End Of Year,2017/12/07,2017/12/08,Private Event ,Christmas Party ,Batman Park
 Purina 1 & Awl Sampling,2017/11/15,2017/11/15,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street"
 Wateraid,2018/01/15,2018/01/18,Promotion,,Bourke St Mall - next to Tourism booth
Wedding Ceremony ,2017/10/28,2017/10/28,Wedding,,Carlton Gardens
 Wateraid,2017/10/12,2017/10/13,Promotion,,Bourke St Mall - next to Tourism booth
 Comercial: Newton Heated Range,2017/08/17,2017/08/17,Filming - TVC,,Alexandra Gardens
 Rmit Graduation Parade 2017,2017/12/13,2017/12/13,Public Event - Non Ticketed,,"Treasury Gardens, Other Park Locations, Bourke Street, La Trobe Street, Russell Street, Spring Street, Swanston Street"
 Melbourne University College Regatta,2017/05/06,2017/05/06,Pubilc Event - Non-ticketed,,Alexandra Gardens
 Liv Fun Run And Walk,2017/11/20,2017/11/20,Private Event,,Kings Domain
 Lincoln,2017/12/20,2017/12/20,Filming - TV Series,,Alexandra Gardens
 Spsdr Christmas Lunch,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Fitzroy Gardens
 Jack Irish,2018/01/16,2018/01/16,Filming - TV Series,,Inner Suburb Locations
 Mercedes Me Store Launch,2017/11/29,2017/11/30,Public Event - Media Launch,,Collins Street
Wedding Ceremony ,2017/11/24,2017/11/24,Wedding,,Fitzroy Gardens
 Black Pepper Fashion Shoot,2017/12/11,2017/12/11,Filming - Photo shoot,,Collins Street
 Put Your Foot Down Walk Melbourne 2017,2017/05/07,2017/05/07,Public Event - Run/Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, BM - Fed Sq + Princes Walk, Birrarung Marr, Other Park Locations, Bridges, Southbank Promenade, Queensbridge Square"
 Nab Bpmo Bbq,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Flagstaff Gardens
 Com Christmas Festival,2017/11/12,2017/12/31,Public Event - Non Ticketed,,"Bourke Street, Flinders Street, Swanston Street, Cohen Place, Degraves Street, Hosier Lane, Howey Place, Manchester Lane, Meyers Place (Green Laneway), Bourke St Mall - next to Tourism booth"
Wedding Ceremony ,2017/10/07,2017/10/07,Wedding,,Carlton Gardens
 Birthday Party,2017/04/22,2017/04/22,Private Event,,Other Park Locations
 Open House Melbourne Weekend,2017/07/27,2017/07/31,Public Event - Low Impact Activity,,Swanston Street
 Sugar Mountain Festival,2018/01/17,2018/01/22,Public Event - Ticketed,,"Other Park Locations, Inner Suburb Locations"
 Commemorative Funeral,2017/10/26,2017/10/27,Public Event - Memorial,,Birrarung Marr
 City on a Hill Family Picnic,2017/10/28,2017/10/28,Private Event,,Carlton Gardens
Wedding Ceremony ,2017/12/02,2017/12/02,Wedding,,Alexandra Gardens
Wedding Ceremony ,2017/08/05,2017/08/05,Wedding,,Fitzroy Gardens
 Ferrari 70th Anniversary Lygon St Festival,2017/10/15,2017/10/15,Public Event - Non Ticketed,,Inner Suburb Locations
Wedding Ceremony ,2018/01/20,2018/01/20,Wedding,,Kings Domain
Wedding Ceremony ,2017/11/11,2017/11/11,Wedding,,Princes Park 
 Underbelly Files: Chopper,2017/08/15,2017/08/15,Filming - TV Series,,"Collins Street, Bank Place"
 Nissan Tvc,2017/05/06,2017/05/06,Filming - TVC,,Little Lonsdale Street
 Hill Of Content,2017/12/11,2017/12/23,Promotion,,Bourke Street
 Smmb Lorde,2017/11/25,2017/11/27,Public Event - Ticketed,,Kings Domain
 Watch Man Walk,2017/07/06,2017/07/19,Filming - Student,,"Treasury Gardens, Flinders Court"
 Jds Family Christmas Party,2017/12/10,2017/12/10,Private Event ,Christmas Party ,Treasury Gardens
Wedding Ceremony ,2018/01/13,2018/01/13,Wedding,,Flagstaff Gardens
 Madman Staff Party,2017/11/24,2017/11/24,Private Event,,Treasury Gardens
 Big Steps Community Event,2017/05/27,2017/05/27,Public Event - Low Impact Activity,,Treasury Gardens
Wedding Ceremony ,2017/10/20,2017/10/20,Wedding,,Carlton Gardens
 The Wrong Girl,2017/06/26,2017/06/26,Filming - TV Series,,Promotional Sites
 The Wrong Girl,2017/06/02,2017/06/02,Filming - Unit Base,,Promotional Sites
 Msfw Vaefno (com),2017/08/30,2017/09/02,Public Event - Non Ticketed,,"Collins Street, Little Bourke Street, Lonsdale Street"
 Sisters Unit Base,2017/08/30,2017/09/01,Filming - TV Series,,Flagstaff Gardens
 Rlwc Installation,2017/10/21,2017/11/20,Public Event - Non Ticketed,,"Queensbridge Square , Promotional Sites"
 Yr 3b Alfred Hospital Med Students Eoy Bbq,2017/10/20,2017/10/20,Private Event -,Christmas Party ,Fawkner Park
 Sisters Unit Base,2017/08/07,2017/08/07,Filming - TV Series,,Other Park Locations
 Health Service Christmas BBQ,2017/12/13,2017/12/13,Private Event ,Christmas Party ,Kings Domain
Wedding Ceremony ,2017/12/10,2017/12/10,Wedding,,Carlton Gardens
 Aia Onelife Video,2017/08/01,2017/08/01,Filming - TVC,,Fawkner Park
Wedding Ceremony ,2017/12/31,2017/12/31,Wedding,,Carlton Gardens
 Light Fm Rememberance Walk,2017/04/23,2017/04/23,Public Event - Run/Walk,,"Kings Domain, Queen Victoria Gardens"
 A Walk In The Park,2017/08/27,2017/08/27,Public Event - Run/Walk,,"Kings Domain, Tom's Block, Queen Victoria Gardens, Swanston Street, St Kilda Road"
 Childfund Australia,2017/05/29,2017/06/02,Promotion,,Bourke St Mall - next to Tourism booth
 The Athlete's Foot Conference,2017/11/27,2017/11/27,Private Event,,Batman Park
Wedding Ceremony ,2017/07/07,2017/07/07,Wedding,,Fitzroy Gardens
 Australia Post 2017,2017/08/01,2017/08/03,Filming - Photo shoot,,"Inner Suburb Locations, Roads / Public Access Spaces"
 Visit Cali Kidifornia,2018/01/20,2018/01/21,Promotion,,Queensbridge Square 
 Jacob And Brad's Engagement,2018/01/20,2018/01/20,Private Event,,Fitzroy Gardens
 Phenomenon,2017/10/25,2017/10/25,Filming - TV Series,,Birrarung Marr
 Mimco Christmas Get Together,2017/12/15,2017/12/15,Private Event ,Christmas Party ,Kings Domain
Wedding Ceremony ,2017/12/09,2017/12/09,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/12/09,2017/12/09,Wedding,,Fitzroy Gardens
Wedding Ceremony ,2017/05/27,2017/05/27,Wedding,,Treasury Gardens
 CPR Lab,2017/10/16,2017/10/16,Promotion,,Southbank Spillway 
 Survivor Olympics,2017/12/22,2017/12/22,Private Event,,Flagstaff Gardens
Wedding Ceremony ,2017/10/10,2017/10/10,Wedding,,Carlton Gardens
 Alt Human Gallery,2017/10/09,2017/10/09,Promotion,,Queensbridge Square 
 The Wrong Girl,2017/08/23,2017/08/23,Filming - TV Series,,"Promotional Sites, Harbour Esplanade"
 Betrayal,2017/12/04,2017/12/04,Filming - Student,,Inner Suburb Locations
 Little Dreamers Young Carers Festival,2017/10/15,2017/10/15,Public Event - Non Ticketed,,Treasury Gardens
Wedding Ceremony ,2017/09/02,2017/09/02,Wedding,,Fitzroy Gardens
 Santa's Grand Arrival,2017/11/18,2017/11/18,Public Event - Non Ticketed,,"Bourke Street, Bourke St Mall - next to Tourism booth"
 Mccains Rustica Pizza Sampling,2017/09/02,2017/09/02,Promotion,,Queensbridge Square 
 Sisters Series 1,2017/08/02,2017/08/02,Filming - TV Series,,Punch Lane
 Holden Equinox,2017/10/28,2017/10/29,Filming - TVC,,"Flagstaff Gardens, Other Park Locations, La Trobe Street, Roads / Public Access Spaces"
Wedding Ceremony ,2017/08/19,2017/08/19,Wedding,,Fitzroy Gardens
 Pop Up Shakespeares Globe,2017/07/17,2018/02/19,Public Event - Ticketed,,Kings Domain
 Carlton Italian Festa,2017/10/19,2017/10/23,Public Event - Non Ticketed,,"Argyle Square Stage Only, Other Park Locations, Inner Suburb Locations, Piazza Italia "
 Out Of The Shadows,2017/09/10,2017/09/10,Public Event - Run/Walk,,"Tom's Block, Queen Victoria Gardens, St Kilda Road, Bridges"
 Team Building,2017/08/21,2017/08/21,Private Event,,Flagstaff Gardens
 Nme Ultra Marathon 2017,2017/10/25,2017/10/26,Private Event,,Kings Domain
 Sisters Series 1,2017/07/26,2017/07/26,Filming - TV Series,,Inner Suburb Locations
 CPR Lab,2018/01/19,2018/01/21,Promotion,,Southbank Spillway 
 Harvey's Heroes Day,2017/07/04,2017/07/04,Public Event - Low Impact Activity,,North Melbourne Recreation Reserve
 Melbourne Water Group's Christmas Lunch,2017/12/13,2017/12/13,Private Event ,Christmas Party ,Carlton Gardens
 Tac This Much Space,2017/09/26,2017/09/26,Filming - TVC,,Inner Suburb Locations
 ANZ Finance Systems Xmas Party,2017/12/07,2017/12/07,Private Event ,Christmas Party ,Fitzroy Gardens
 Hlttv Xmas Bbq,2017/11/26,2017/11/26,Private Event,Christmas Party ,Fawkner Park
Wedding Ceremony ,2017/09/09,2017/09/09,Wedding,,Flagstaff Gardens
